Date,GameNum, PlayerID, GroupID, Region, Age, NoseBlack, PawCircumference, Weight, Size, Sex
9/13/2022 16:23,64,suhrstedt,bhs202,0,1.6,0.08,2.9,95,56,male
9/13/2022 16:23,64,suhrstedt,bhs202,0,14.7,0.9,3.4,265,68,female
9/13/2022 16:23,64,suhrstedt,bhs202,0,9.4,0.76,4.7,342,74,male
9/13/2022 16:23,64,suhrstedt,bhs202,4,5.9,0.29,4.4,383,77,male
9/13/2022 16:23,64,suhrstedt,bhs202,5,14.7,0.87,4.3,403,80,male
9/13/2022 16:23,64,suhrstedt,bhs202,1,3.5,0.02,3.7,271,67,female
9/13/2022 16:23,64,suhrstedt,bhs202,5,7.2,0.45,4.7,347,72,male
9/13/2022 16:24,64,suhrstedt,bhs202,3,10.9,0.75,4.6,414,78,male
9/13/2022 16:24,64,suhrstedt,bhs202,3,3.5,0.15,3.7,304,69,male
9/13/2022 16:24,64,suhrstedt,bhs202,0,8.3,0.61,4,259,70,female
9/13/2022 16:24,64,suhrstedt,bhs202,0,0.4,0.01,2,13,47,male
9/13/2022 16:24,64,suhrstedt,bhs202,0,4.1,0.18,3.5,259,70,female
9/13/2022 16:24,64,suhrstedt,bhs202,0,4.4,0.22,3.3,265,67,female
9/13/2022 16:24,64,suhrstedt,bhs202,4,12,0.67,4.7,376,75,male
9/13/2022 16:24,64,suhrstedt,bhs202,0,2.6,0.17,4.3,413,78,male
9/13/2022 16:33,66,torres,bhs2022,2,6.8,0.49,3.3,275,68,female
9/13/2022 16:33,66,torres,bhs2022,2,11.7,0.76,3.6,260,69,female
9/13/2022 16:33,66,torres,bhs2022,1,11.7,0.75,3.5,269,70,female
9/13/2022 16:33,66,torres,bhs2022,1,13.2,0.83,3.9,280,69,female
9/13/2022 16:33,66,torres,bhs2022,2,10.5,0.68,3.3,257,70,female
9/13/2022 16:33,66,torres,bhs2022,5,10.3,0.75,4,309,70,male
9/13/2022 16:33,66,torres,bhs2022,1,3.7,0.1,3.5,253,65,female
9/13/2022 16:33,66,torres,bhs2022,4,12,0.67,4.7,376,75,male
9/13/2022 16:33,66,torres,bhs2022,4,9.9,0.56,4.5,371,78,male
9/13/2022 16:33,66,torres,bhs2022,4,11.6,0.75,3.2,267,70,female
9/13/2022 16:33,66,torres,bhs2022,0,11.1,0.64,3.3,273,68,female
9/13/2022 16:33,66,torres,bhs2022,2,6.8,0.49,3.3,275,68,female
9/13/2022 16:33,66,torres,bhs2022,4,5.9,0.29,4.4,383,77,male
9/13/2022 16:33,66,torres,bhs2022,2,11.7,0.76,3.6,260,69,female
9/13/2022 16:33,66,torres,bhs2022,1,15.1,0.94,3.9,287,70,female
9/13/2022 16:33,66,torres,bhs2022,1,11.7,0.75,3.5,269,70,female
9/13/2022 16:33,66,torres,bhs2022,3,5,0.07,4.4,347,76,male
9/13/2022 16:33,66,torres,bhs2022,1,13.2,0.83,3.9,280,69,female
9/13/2022 16:33,66,torres,bhs2022,4,5.9,0.41,3.7,263,69,female
9/13/2022 16:33,66,torres,bhs2022,2,10.5,0.68,3.3,257,70,female
9/13/2022 16:33,66,torres,bhs2022,4,5.8,0.33,4.6,358,75,male
9/13/2022 16:33,66,torres,bhs2022,5,10.3,0.75,4,309,70,male
9/13/2022 16:33,66,torres,bhs2022,1,9.3,0.62,3.4,261,69,female
9/13/2022 16:33,66,torres,bhs2022,1,3.7,0.1,3.5,253,65,female
9/13/2022 16:33,66,torres,bhs2022,4,14,0.88,4.7,299,73,male
9/13/2022 16:33,66,torres,bhs2022,4,12,0.67,4.7,376,75,male
9/13/2022 16:33,66,torres,bhs2022,4,3.7,0.15,3.8,294,72,male
9/13/2022 16:33,66,torres,bhs2022,4,9.9,0.56,4.5,371,78,male
9/13/2022 16:33,66,torres,bhs2022,5,14.7,0.87,4.3,403,80,male
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
